"job_id","days_since_posted","open_position","company_name","job_type","job_location","min_salary","max_salary","midpoint_salary","job_spec","job_function","job_industry","industry_name"
"1","45","Manager FAT (Finance, Accounting, Tax)","PT. Teman Petualang Indonesia","Full Time","Jakarta Selatan","10000000.0","12000000.0","11000000.0","Akuntansi & Pelaporan Finansial","Akunting","Akuntansi",""
"2","50","Sales Manager","Guizhou Taiyong-Longmarch Technology Co.,Ltd","Full Time","Jakarta Pusat","","","","Manajemen","Manajemen","Penjualan",""
"3","1","Senior UI/UX","PT. Lintas Teknologi Indonesia","Full Time","Jakarta Raya","","","","Desain Web & Interaksi","Desain","Desain & Arsitektur","Konstruksi"
"4","1","Assistant Manager - Environmental Quality","Yellow Fit Kitchen","Full Time","Jakarta Utara","7000000.0","10000000.0","8500000.0","","","",""
"5","1","E-Commerce Admin","Pengiklan Anonim","Full Time","Jakarta Selatan","","","","Entri Data & Pengolahan Kata","Administratif","Administrasi & Dukungan Perkantoran",""
"6","2","HR Business Partner","Pengiklan Anonim","Full Time","Jakarta Raya","","","","Konsultasi & HR Umum","Konsulting","Sumber Daya Manusia & Perekrutan",""
"7","3","Security Operation Detection Engineer","PT Mid Solusi Nusantara (MEKARI)","Full Time","Jakarta Raya","","","","Keamanan","Teknologi Informasi","Teknologi Informasi & Komunikasi","Teknologi"
"8","4","Staff Accounting","Ekspor Impor Produk Perikanan","Full Time","Jakarta Raya","5200000.0","6000000.0","5600000.0","Akuntansi & Pelaporan Finansial","Akunting","Akuntansi",""
"9","5","Business Development Specialist (App Optimization, Gaming, SaaS)","PT XIAOXI TECH INDONESIA","Full Time","Jakarta Selatan","25000000.0","35000000.0","30000000.0","Pengembangan Bisnis Baru","Penjualan","Penjualan",""
"10","5","AR Staff (Account Receivable)","AGRO BOGA UTAMA GROUP","Full Time","Jakarta Raya","5700000.0","6500000.0","6100000.0","Piutang Usaha/Pengendalian Kredit","Akunting","Akuntansi",""
"11","5","Admin Sales","PT Wahana Safety Indonesia","Full Time","Jakarta Utara","","","","Asisten Administratif","Administratif","Administrasi & Dukungan Perkantoran",""
"12","6","Business Development Partner - BFI Finance Program","Kemitraan Strategis BFI Finance atau Mitra Dana Atat - BFI Finance","Kasual","Jakarta Raya","","","","Pengembangan Bisnis Baru","Penjualan","Penjualan",""
"13","7","WEN Program Manager - Indonesia","Wadhwani Foundation","Full Time","Jakarta Raya","","","","Pengembangan Masyarakat","Sumber Daya Manusia","Layanan & Pengembangan Masyarakat","Sosial"
"14","7","Data Scientist - Risk Platform","PT Dwi Cermat Indonesia","Full Time","Jakarta Raya","","","","Matematika, Statistik & Teknik Informasi","Sains","Sains & Teknologi","Teknologi"
"15","7","Kontributor Jurnalis","PT Foodie Bisnis Indonesia","Full Time","Jakarta Raya","","","","Jurnalisme & Penulisan","Media","Periklanan, Seni & Media","Media"
"16","9","Lead PMM, CX","PT Solusi Transportasi Indonesia","Full Time","Jakarta Selatan","","","","Manajemen & Pengembangan Produk","Manajemen","Pemasaran & Komunikasi",""
"17","16","HR Manager","PT NOSE HERBALINDO","Kontrak/Temporer","Jakarta Raya","","","","Manajemen – Internal","Manajemen","Sumber Daya Manusia & Perekrutan",""
"18","16","Database Administrator","Ogloba Ltd.","Full Time","Jakarta Raya","","","","Pengembangan & Administrasi Database","Teknologi Informasi","Teknologi Informasi & Komunikasi","Teknologi"
"19","16","Finance, Accounting & Tax Intern","Bosch Group","Full Time","Jakarta Selatan","","","","Entri Data & Pengolahan Kata","Administratif","Administrasi & Dukungan Perkantoran",""
"20","17","Accounting","PT. Alpa Teta Energi","Full Time","Jakarta Raya","","","","Manajemen","Manajemen","Akuntansi",""
"21","18","Digital Marketing","le louvre patisserie","Full Time","Jakarta Raya","","","","Pemasaran Digital & Pencarian","Pemasaran","Pemasaran & Komunikasi",""
"22","18","Customer Success Specialist - Mobility","CITADEL Pacific Ltd.","Full Time","Jakarta Raya","","","","Administrasi Klien & Penjualan","Administratif","Administrasi & Dukungan Perkantoran",""
"23","18","HR Business Partner (Manager)","CITADEL Pacific Ltd.","Full Time","Jakarta Raya","","","","Konsultasi & HR Umum","Konsulting","Sumber Daya Manusia & Perekrutan",""
