"job_id";"days_since_posted";"open_position";"company_name";"job_type";"job_location";"min_salary";"max_salary";"midpoint_salary";"job_spec";"job_function";"job_industry";"industry_name";"role_cleaned"
"14";"7";"Data Scientist - Risk Platform";"PT Dwi Cermat Indonesia";"Full Time";"Jakarta Raya";"";"";"";"Matematika, Statistik & Teknik Informasi";"Sains";"Sains & Teknologi";"Teknologi";"Data Scientist / ML"
"24";"19";"Business Intelligence Analyst";"PT Dwi Cermat Indonesia";"Full Time";"Jakarta Raya";"";"";"";"Analis Bisnis/Sistem";"Analitik";"Teknologi Informasi & Komunikasi";"Teknologi";"Business Intelligence/Analyst"
"41";"21";"Data Scientist";"PT Kamoro Maxima Integra";"Full Time";"Jakarta Raya";"";"";"";"Matematika, Statistik & Teknik Informasi";"Sains";"Sains & Teknologi";"Teknologi";"Data Scientist / ML"
"57";"22";"Data Analyst Supervisor";"PT Jumbo Power International";"Full Time";"Jakarta Raya";"";"";"";"Analis";"Analitik";"Konsultasi & Strategi";"Konsulting";"Data Analyst"
"60";"23";"Sales Data Analyst (English Speaker)";"Sumber Berkat Group";"Full Time";"Jakarta Raya";"";"";"";"Asisten Administratif";"Administratif";"Administrasi & Dukungan Perkantoran";"";"Data Analyst"
"77";"23";"Bussiness Analyst";"PT Prima Audio Indonesia";"Full Time";"Jakarta Utara";"";"";"";"Perencanaan";"Pemasaran";"Ritel & Produk Konsumen";"Ritel";"Analyst"
"78";"23";"Business Analyst  - IT Consulting - Jakarta (B-128254)";"RGF HR Agent Indonesia";"Full Time";"Jakarta Raya";"20000000.0";"30000000.0";"25000000.0";"Analis Bisnis/Sistem";"Analitik";"Teknologi Informasi & Komunikasi";"Teknologi";"Business Intelligence/Analyst"
"97";"1";"UI UX Analyst & Researcher";"PT Mandiri International Technology";"Kontrak/Temporer";"Jakarta Raya";"";"";"";"Manajemen & Pengembangan Produk";"Manajemen";"Teknologi Informasi & Komunikasi";"Teknologi";"Analyst"
"112";"1";"Analyst, Assistant Relationship Manager - Japanese Corporate Banking";"The Bank of Tokyo Mitsubishi-UFJ";"Full Time";"Jakarta Raya";"";"";"";"Manajemen Akun & Relasi";"Manajemen";"Penjualan";"";"Analyst"
"147";"1";"Data Analyst & Business Support";"Halodoc";"Full Time";"Hibrid";"";"";"";"Analis Bisnis/Sistem";"Analitik";"Teknologi Informasi & Komunikasi";"Teknologi";"Data Analyst"
"163";"1";"Senior L2 Business Analyst";"PT. HAND Solutions Indonesia";"Full Time";"Jakarta Raya";"";"";"";"Analis Bisnis/Sistem";"Analitik";"Teknologi Informasi & Komunikasi";"Teknologi";"Business Intelligence/Analyst"
"179";"1";"Application Support Analyst";"PT Murni Development Indonesia";"Kontrak/Temporer";"Jakarta Barat";"";"";"";"Analis Bisnis/Sistem";"Analitik";"Teknologi Informasi & Komunikasi";"Teknologi";"Analyst"
"186";"1";"Brand & Activation Analyst";"OLX Indonesia";"Full Time";"Jakarta Selatan";"";"";"";"Manajemen Brand";"Manajemen";"Pemasaran & Komunikasi";"";"Analyst"
"192";"1";"Business Development Analyst";"SCG";"Full Time";"Jakarta Raya";"";"";"";"Analisis & Pelaporan";"Analitik";"Penjualan";"";"Analyst"
"219";"1";"Senior System Analyst";"PT Home Credit Indonesia";"Full Time";"Jakarta Raya";"";"";"";"Analis Bisnis/Sistem";"Analitik";"Teknologi Informasi & Komunikasi";"Teknologi";"Analyst"
"224";"1";"Financial Planning Analyst";"Somethinc";"Full Time";"Jakarta Raya";"";"";"";"Analisis & Pelaporan";"Analitik";"Akuntansi";"";"Analyst"
"225";"1";"Jr. Data Engineer";"Somethinc";"Full Time";"Jakarta Raya";"";"";"";"Teknik – Perangkat Lunak";"Teknik";"Teknologi Informasi & Komunikasi";"Teknologi";"Data Engineer"
"232";"1";"Sales Operations Analyst";"COLORLINK";"Full Time";"Jakarta Utara";"";"";"";"Analisis & Pelaporan";"Analitik";"Penjualan";"";"Analyst"
"234";"1";"Marketing Analyst";"PT Astra International Tbk  (BMW)";"Full Time";"Jakarta Raya";"";"";"";"Pemasaran Langsung & CRM";"Pemasaran";"Pemasaran & Komunikasi";"";"Analyst"
"239";"1";"Campaign Data Analyst";"PT Rajawali Berdikari Indonesia";"Full Time";"Jakarta Raya";"5500000.0";"5729876.0";"5614938.0";"Analis Bisnis/Sistem";"Analitik";"Teknologi Informasi & Komunikasi";"Teknologi";"Data Analyst"
"254";"1";"Credit Analyst - Jakarta Utara";"PT Hino Finance Indonesia";"Full Time";"Jakarta Raya";"";"";"";"Analisis & Pelaporan";"Analitik";"Perbankan & Layanan Finansial";"Perbankan";"Analyst"
"255";"1";"Credit Analyst - Jakarta Timur";"PT Hino Finance Indonesia";"Full Time";"Jakarta Raya";"";"";"";"Analisis & Pelaporan";"Analitik";"Perbankan & Layanan Finansial";"Perbankan";"Analyst"
"275";"1";"Business Analyst";"Cloudisai Technology Services";"Kontrak/Temporer";"Jakarta Raya";"";"";"";"Analis Bisnis/Sistem";"Analitik";"Teknologi Informasi & Komunikasi";"Teknologi";"Business Intelligence/Analyst"
"290";"1";"Growth Analyst";"GoTo Financial";"Full Time";"Jakarta Raya";"";"";"";"Pemasaran Langsung & CRM";"Pemasaran";"Pemasaran & Komunikasi";"";"Analyst"
